本文,歌人,歌集,年代,雑誌
白ぎれの粟稈畠に立ちとまり何思ひしか今忘れたり,島木赤彦,馬鈴薯の花,1910,アララギ
ひよろ長き草の枯れがらにいや深に疲れ心の觸はり行くかな,島木赤彦,馬鈴薯の花,1910,アララギ
想ひ出　五首,島木赤彦,馬鈴薯の花,1910,アララギ
森深く丹の花咲きき吹く風もそこに寂しく冷めたくありき,島木赤彦,馬鈴薯の花,1910,アララギ
丹の花は搖れて靜みき森の風の流らふ蘇はただ靑かりき,島木赤彦,馬鈴薯の花,1910,アララギ
うつらうつら丹の花のへに眼をあきて見てあるままに夢かと思ひき,島木赤彦,馬鈴薯の花,1910,アララギ
日の暮るる蘇の靑みに身ひとりの頰を觸りつつ淚流れき,島木赤彦,馬鈴薯の花,1910,アララギ
里芋のちひさ畠を森に入りしおのが姿の今見ゆるかな,島木赤彦,馬鈴薯の花,1910,アララギ
一つの赤ぬり馬車に春の雪の重くうつくしく走りて行くよ,島木赤彦,馬鈴薯の花,1910,アララギ
野の朝の土のしめりに春らしき光を踏みぬ町にむかひて,島木赤彦,馬鈴薯の花,1910,アララギ
草枯の土ひそやかに愛らしき春龍膽は眼をあきにけり,島木赤彦,馬鈴薯の花,1910,アララギ
枯草のそよぎのかげに暮れてゆく春りんだうは幽かなるかも,島木赤彦,馬鈴薯の花,1910,アララギ
別れて後に,島木赤彦,馬鈴薯の花,1910,アララギ
障子しめて廊下に出でぬかくの如わけなきものに別れてしまひぬ,島木赤彦,馬鈴薯の花,1910,アララギ
廊下の板に足うらのさはるとき我らは長く別れてありぬ,島木赤彦,馬鈴薯の花,1910,アララギ
夏蜜柑ひとつ貰ひて持ちてある思ひはかなく汽車動くなり,島木赤彦,馬鈴薯の花,1910,アララギ
腰掛けてベンチにありぬ乾からびしあまたの顏が我が询にありぬ,島木赤彦,馬鈴薯の花,1910,アララギ
口かずを餘りきかずに別れしがま徹しきかな懷しきかな,島木赤彦,馬鈴薯の花,1910,アララギ
我らのかなし瞳の,島木赤彦,馬鈴薯の花,1910,アララギ
合ひたるがかのタの灯にいくほどなりし,島木赤彦,馬鈴薯の花,1910,アララギ
眞鑰の火鉢,島木赤彦,馬鈴薯の花,1910,アララギ
蛙のはなしもやみぬ二人して遠き蛙に耳かたぶけぬ,島木赤彦,馬鈴薯の花,1910,アララギ
煙草のけぶりの末も見えぬまで庭の茂りは界れてありけり,島木赤彦,馬鈴薯の花,1910,アララギ
夕はやく冷え來る緣にうち觸るる寂し肌へを顫はせにけり,島木赤彦,馬鈴薯の花,1910,アララギ
向つ家の二階の窓ゆ喑き木に燈がさしそむるひそか心や,島木赤彦,馬鈴薯の花,1910,アララギ
障子の紙もしめりぬかそかなる家ぬちに入りて灯をともすなり,島木赤彦,馬鈴薯の花,1910,アララギ
二人して宵さびしければ真鍮の火鉢によりて火をふきにけり,島木赤彦,馬鈴薯の花,1910,アララギ
寂しき禽　六首,島木赤彦,馬鈴薯の花,1910,アララギ
春草の日陰の水にひとり飮む小さき禽の喉がかはゆや,島木赤彦,馬鈴薯の花,1910,アララギ
草の水細きかよわき嘴入れて小禽は眼をもつぶり飮むかや,島木赤彦,馬鈴薯の花,1910,アララギ
胸の毛の短か若毛をうち濡らし禽はかよわく身振ひにけり,島木赤彦,馬鈴薯の花,1910,アララギ
草の中の若鳥思へばわが胸の底にやさしく來るけはひすも,島木赤彦,馬鈴薯の花,1910,アララギ
春おそき光の中にいささかの草のかげして籠るなりけり,島木赤彦,馬鈴薯の花,1910,アララギ
草の中の寂し鳥にていつまでも其所にあれよと涙流るる,島木赤彦,馬鈴薯の花,1910,アララギ
このごろは多く曇れりおろおろに淚流れて籠る日もあり,島木赤彦,馬鈴薯の花,1910,アララギ
つとめに出でねばならず薄ら日の曇りの窓にスボン穿くひとり,島木赤彦,馬鈴薯の花,1910,アララギ
ひるの土に下駄の音して入り來つる人を誰れかとひそみ居るなり,島木赤彦,馬鈴薯の花,1910,アララギ
まとまらぬ疲れ心のおぼろかに法師姿が見え來るかな,島木赤彦,馬鈴薯の花,1910,アララギ
生きてあらばこのはかな身のほそぼそに髮をおろして住む日もあらん,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
夏家居十一首,島木赤彦,馬鈴薯の花,1910,アララギ
夏桑の茂りに壓さるる窓の下いく日か經にし我がよわき肌は,島木赤彦,馬鈴薯の花,1910,アララギ
夏の桑黑き靑みにあが心日にけに染みて腐るなりけり,島木赤彦,馬鈴薯の花,1910,アララギ
疲れてあつき座敷にまろぶ我れに何びとも物を言はずしてくれよ,島木赤彦,馬鈴薯の花,1910,アララギ
斯うしては居られぬやうな底心かゆくなり來る桑の光りに,島木赤彦,馬鈴薯の花,1910,アララギ
はかなくひとりいねてあれ、今宵もあまた蚤來て我をはむらん,島木赤彦,馬鈴薯の花,1910,アララギ
父らしき臭ひすればか子らあまた暑く苦しくよりて來るかな,島木赤彦,馬鈴薯の花,1910,アララギ
暑苦しく寢ころびて居れば汽車の響きとろとろと來る日も腐るがに,島木赤彦,馬鈴薯の花,1910,アララギ
玉蜀黍の穗は思ふことなきやうに夕日の風に搖り眠るかな,島木赤彦,馬鈴薯の花,1910,アララギ
かひこが、皆死にしかば南瓜きる早きおそきをいさかひにけり,島木赤彦,馬鈴薯の花,1910,アララギ
蟲が來てランプに鳴きぬ夜の室の古き疊に寢反れる子どもら,島木赤彦,馬鈴薯の花,1910,アララギ
わが燈は桑のしげりの奧深く死にて冷めたきものを照せり,島木赤彦,馬鈴薯の花,1910,アララギ
萱草花の夕日の川に出でしとき別れは其所に待ちてありけり,島木赤彦,馬鈴薯の花,1910,アララギ
夕日の朱を吸ひ盛るくわんざうの花に男はあはれなりけり,島木赤彦,馬鈴薯の花,1910,アララギ
今別れんとする心の靜けさ、くわんざうの夕日の朱は死にて動かず,島木赤彦,馬鈴薯の花,1910,アララギ
木曾藪原,島木赤彦,馬鈴薯の花,1910,アララギ
,島木赤彦,馬鈴薯の花,1910,アララギ
山にしてはや秋らしく鳴く蟲を抱きてやりたき宵ごころかな,島木赤彦,馬鈴薯の花,1910,アララギ
雨たまる驛の道にうすらなる灯りをなげて櫛賣れるかな,島木赤彦,馬鈴薯の花,1910,アララギ
重もおもしき木の屋根竝びうまや路を晝ひそやかに我行きにけり,島木赤彦,馬鈴薯の花,1910,アララギ
山にして蟲なくなべに峽の底家も沈みて行く心地かも,島木赤彦,馬鈴薯の花,1910,アララギ
