本文,作者,歌集,年代,雑誌（結社）
みちのくに米とぼしとぞ小夜ふけし電車のなかに父をしぞ思ふ,斎藤茂吉,あらたま,1914,アララギ
しんしんと雪ふるなかにたたずめる馬の眼はまたたきにけり,斎藤茂吉,あらたま,1914,アララギ
電車とまるここは靑山三丁目染屋の紺に雪ふり消居り,斎藤茂吉,あらたま,1914,アララギ
ほうつとして電車を去りし現身の我の眉間に雪ふりしきる,斎藤茂吉,あらたま,1914,アララギ
ゆく春はしづかなれども氣にかかるあはれをとめて我は來にけり,斎藤茂吉,あらたま,1914,アララギ
春がすみとほくながるる西空に入日おほきくなりにけるかも,斎藤茂吉,あらたま,1914,アララギ
侏儒ひとり陣羽織きて行きにけり行方に春のつちげむり立つ,斎藤茂吉,あらたま,1914,アララギ
入日ぞら頭がちなる侏儒ひとりいま大河の鐵橋わたる,斎藤茂吉,あらたま,1914,アララギ
かなしかる初代ぽんたも古妻の舞ふ行く春のよるのともしび,斎藤茂吉,あらたま,1914,アララギ
にはたづみ流れ果てねば竹の葉ゆ陽炎のぼる日の光さし,斎藤茂吉,あらたま,1914,アララギ
さにづらふ少女の歎もものものし人さびせざるこがらしの音,斎藤茂吉,あらたま,1914,アララギ
いつぽんの杉の大木にかかりたる入日のほのほ澄みにけるかも,斎藤茂吉,あらたま,1914,アララギ
いつぽんの杉の大木に抱かれゐし紅き入つ日土に入るかも,斎藤茂吉,あらたま,1914,アララギ
赤光のなかに染まりて歸りくる農夫のをみな草負へりけり,斎藤茂吉,あらたま,1914,アララギ
なげかざる女のまなこ直さびし電燈のもとに湯はたぎるなり,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
諦念,斎藤茂吉,あらたま,1914,アララギ
橡の太樹をいま吹きとほる五月かせ嫩葉たふとく諸向きにけり,斎藤茂吉,あらたま,1914,アララギ
朝風の流るるまにま橡の樹の嫩葉ひたむきになびき伏すはや,斎藤茂吉,あらたま,1914,アララギ
朝ゆけば朝森うごき夕くれば夕森うごく見とも悔いめや,斎藤茂吉,あらたま,1914,アララギ
しまし我は目をつむりなむ眞日おもて鴉ねむりに行くこゑきこゆ,斎藤茂吉,あらたま,1914,アララギ
この夜は鳥獣魚介もしづかなれ未練もちてか行きかく行くわれも,斎藤茂吉,あらたま,1914,アララギ
あきらめに色なありそとぬば玉の小夜なかにして目ざめかなしむ,斎藤茂吉,あらたま,1914,アララギ
この朝明ひた急ぐ土の土龍かなしきものを我見たりけり,斎藤茂吉,あらたま,1914,アララギ
豚の子と軍雞ともの食ふところなり我が魂ももとほるところ,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
とのゐ,斎藤茂吉,あらたま,1914,アララギ
はつ夏の日の照りわたりたる狂院のせとの土原に軍雞むらがれり,斎藤茂吉,あらたま,1914,アララギ
ひと夜ねしとのゐの朝の疊はふ蟲をころさずめざめごころに,斎藤茂吉,あらたま,1914,アララギ
やまたづのむかひの森にさぬつどり雉子啼きとよむ聲のかなしさ,斎藤茂吉,あらたま,1914,アララギ
朝明けてひた怒りをる狂人のこゑをききつつ疑はずけり,斎藤茂吉,あらたま,1914,アララギ
ひとりゐて見つつさびしむあぶらむし硯の水を舐め止ますけり,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
蝌蚪,斎藤茂吉,あらたま,1914,アララギ
かへるごは水のもなかに生れいでかなしきかなや淺岸に寄る,斎藤茂吉,あらたま,1914,アララギ
